url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
prodexp io,7,2.522,0,0,0,0,0,0,0,1,1
chuangxinyuan1a com,15,3.14,6.667,0,0,0,0,0,1,0,1
isacombk com,8,3,0,0,0,0,0,0,0,1,1
baovesuckhoecanbotb,19,3.432,0,0,1,0,0,0,0,0,0
zvn,3,1.585,0,0,0,0,0,0,0,1,0
dogemining equipment,10,2.722,0,0,0,0,0,0,1,0,1
chgftd com,6,2.585,0,0,0,0,0,0,0,1,1
sc0m net,4,2,25,0,0,0,0,0,0,1,1
vn-banking xyz,10,2.846,0,1,0,0,0,0,0,1,1
jj id,2,0,0,0,0,0,0,0,0,1,0
vcbigrnbrnk com,11,2.914,0,0,0,0,0,0,1,0,1
chanle196 club,9,3.17,33.333,0,0,0,0,0,1,0,1
bf9 net,3,1.585,33.333,0,0,0,0,0,0,1,1
vcbdsgbink com,10,3.122,0,0,0,0,0,0,1,0,1
hotlive9 live,8,3,12.5,0,0,0,0,0,0,1,1
kubota,6,2.585,0,0,0,0,0,0,1,0,0
vn-oh club,5,2.322,0,1,0,0,0,0,0,1,1
kimtinhpetrol,13,3.393,0,0,1,0,0,0,0,0,0
stttt gialai gov,5,0.722,0,0,0,0,0,0,0,1,0
finatics io,8,2.75,0,0,0,0,0,0,0,1,1
bigplayerclub com,13,3.393,0,0,0,0,1,0,0,0,1
cltxmm88 fun,8,2.5,25,0,0,0,0,0,0,1,1
justay,6,2.585,0,0,0,0,0,0,0,1,0
doithe10s com,9,3.17,22.222,0,0,0,0,0,0,1,1
vemaybayuytin,13,3.181,0,0,1,0,0,0,0,0,0
vn-c top,4,2,0,1,0,0,0,0,0,1,1
lotte-credit88 com,14,3.182,14.286,1,0,0,0,0,0,1,1
you88 app,5,1.922,40,0,0,0,0,0,0,1,1
cktg-lmht cf,9,2.948,0,1,0,0,0,0,0,1,1
j2team dev,6,2.585,16.667,0,0,0,0,0,0,1,0
pmb edu,3,1.585,0,0,0,0,0,0,0,1,0
catbaoquydau org,12,3.022,0,0,1,0,0,0,0,0,0
shopeevi live,8,2.75,0,0,0,0,0,0,1,0,1
tzzkc com,5,1.922,0,0,0,0,0,0,0,1,1
dichvuchovay68 com,14,3.379,14.286,0,0,0,0,0,1,0,1
ngorongonline com,13,2.565,0,0,1,0,0,0,0,0,1
tnnvietnam com,10,2.646,0,0,0,0,0,0,0,1,0
bongda12h com,9,3.17,22.222,0,0,0,0,0,0,1,1
schaumann,9,2.725,0,0,0,0,0,0,0,1,0
payon-rutienmat5 com,16,3.625,6.25,1,0,0,0,0,0,1,1
via id,3,1.585,0,0,0,0,0,0,1,0,0
cltx88 me,6,2.252,33.333,0,0,0,0,0,0,1,1
thietbi online,7,2.236,0,0,0,0,0,0,0,1,0
baohungyen org,10,3.122,0,0,1,0,0,0,0,0,0
rexona,6,2.585,0,0,0,0,0,0,1,0,0
moneydong vip,9,2.725,0,0,0,0,0,0,1,0,1
iprofitt com,8,2.5,0,0,0,0,0,0,0,1,1
ku3688 club,6,2.252,66.667,0,0,0,0,0,0,1,1
dienmaykhaitri com,14,3.325,0,0,0,0,0,0,1,0,0
crown948 com,8,3,37.5,0,0,0,0,0,0,1,1
catmimathanquoc,15,3.19,0,0,0,0,0,0,1,0,1
shopee39 vip,8,2.75,25,0,0,0,0,0,1,0,1
evivideo xyz,8,2.25,0,0,0,0,0,0,1,0,1
sbitw net,5,2.322,0,0,0,0,0,0,0,1,1
gytapple cn,8,2.75,0,0,0,0,0,0,0,1,1
biendongvn com,10,2.846,0,0,0,1,0,0,0,0,1
shopee15 com,8,2.75,25,0,0,0,0,0,1,0,1
ypkypdng info,8,2.5,0,0,0,0,0,0,0,1,1
fjjfk cc,5,1.522,0,0,0,0,0,0,0,1,1
nguyen-van-hieu,15,3.19,0,2,0,0,0,0,1,0,0
clmm287 com,7,2.522,42.857,0,0,0,0,0,1,0,1
amazon23 cn,8,2.75,25,0,0,0,0,0,0,1,1
conbocuoi com,9,2.419,0,0,0,0,0,0,0,1,0
baohagiang,10,2.646,0,0,1,0,0,0,0,0,0
tinhocpst edu,9,2.948,0,0,1,0,0,0,0,0,0
tinphatsticker,14,3.325,0,0,1,0,0,0,0,0,0
www-go88 vin,8,2.156,25,1,0,0,0,0,0,1,1
cọcốngthép,10,3.122,0,0,0,0,0,0,0,1,0
8us88 com,5,1.371,60,0,0,0,0,0,0,1,1
hatinhtrade com,11,2.914,0,0,1,0,0,0,0,0,0
javhay us,6,2.252,0,0,0,0,0,0,1,0,1
apacvirtual top,11,3.027,0,0,0,0,0,0,0,1,1
totalswiss,10,2.646,0,0,0,0,0,0,0,1,0
twin588 com,7,2.522,42.857,0,0,0,0,0,0,1,1
momofhd com,7,2.236,0,0,0,0,0,0,0,1,1
st7799 com,6,1.918,66.667,0,0,0,0,0,0,1,1
gs-wealth vip,9,3.17,0,1,0,0,0,0,0,1,1
tinhbotkhoaimi,14,3.039,0,0,1,0,0,0,0,0,0
baotoanrubber com,13,2.873,0,0,1,0,0,0,0,0,0
lot79 com,5,2.322,40,0,0,0,0,0,0,1,1
dailymercedes-benz,18,3.614,0,1,1,0,0,0,0,0,0
kinhteonline,12,2.855,0,0,1,0,0,0,0,0,0
onlinebanking-shopee,20,3.484,0,1,1,0,0,0,0,0,1
shopne77 com,8,2.75,25,0,0,0,0,0,0,1,1
fafa asia,4,1,0,0,0,0,0,0,0,1,1
ngoquangbao id,11,2.732,0,0,1,0,0,0,0,0,0
danvan,6,1.918,0,0,0,0,0,0,0,1,0
twin68 club,6,2.585,33.333,0,0,0,0,0,0,1,1
payback,7,2.522,0,0,0,0,0,0,0,1,1
my-easy shop,7,2.522,0,1,0,0,0,0,0,1,1
sd8768 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
enjoy689 com,8,3,37.5,0,0,0,0,0,0,1,1
shinsei-bank com,12,3.085,0,1,0,0,0,0,1,0,1
haisanmientrung,15,3.323,0,0,0,0,0,0,1,0,0
homeland24h,11,3.278,18.182,0,1,0,0,0,0,0,0
thkkooli top,8,2.5,0,0,0,0,0,0,0,1,1
napthelienquan net,14,3.182,0,0,0,0,0,0,0,1,1
tinlequa365 com,11,3.459,27.273,0,1,0,0,0,0,0,1
